epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,6136.27,0.72165,0.41282,1.02542,0.96141,0.92862,0.96482,0.79968,0.73928,0.37542,1.09222,0.00208,0.00208,0.00208
82,6209.2,0.7031,0.40275,1.02301,0.94024,0.9578,0.96608,0.79952,0.74624,0.37245,1.10115,0.001981,0.001981,0.001981
83,6285.9,0.70137,0.4015,1.01988,0.95246,0.94189,0.96548,0.79807,0.74102,0.37047,1.09843,0.001882,0.001882,0.001882
84,6359.1,0.70095,0.41432,1.01796,0.96832,0.92793,0.96362,0.80117,0.73939,0.37192,1.0921,0.001783,0.001783,0.001783
85,6431.45,0.70176,0.40175,1.01292,0.94315,0.94849,0.96357,0.80043,0.7406,0.36919,1.09898,0.001684,0.001684,0.001684
86,6504.73,0.69982,0.39654,1.01537,0.93612,0.95788,0.96685,0.79573,0.75077,0.37028,1.10206,0.001585,0.001585,0.001585
87,6608.4,0.69643,0.389,1.01435,0.95868,0.9382,0.96516,0.79838,0.74818,0.36689,1.10028,0.001486,0.001486,0.001486
88,6709.9,0.68499,0.39088,1.00484,0.96816,0.93335,0.96672,0.79968,0.7468,0.3604,1.09952,0.001387,0.001387,0.001387
89,6782.87,0.69665,0.39037,1.01519,0.96903,0.93033,0.96589,0.79527,0.74895,0.37009,1.09206,0.001288,0.001288,0.001288
90,6857.36,0.68657,0.37993,1.01079,0.94732,0.95507,0.96876,0.79917,0.74751,0.36627,1.10207,0.001189,0.001189,0.001189
91,6925.83,0.64966,0.3424,0.98075,0.95832,0.94943,0.96719,0.80181,0.74121,0.36447,1.09862,0.00109,0.00109,0.00109
92,6996,0.64402,0.33383,0.99028,0.96092,0.93953,0.96765,0.79679,0.74984,0.3668,1.10526,0.000991,0.000991,0.000991
93,7063.18,0.62803,0.32888,0.97321,0.95953,0.9323,0.965,0.79613,0.74167,0.36789,1.09615,0.000892,0.000892,0.000892
94,7131.48,0.62122,0.32312,0.9695,0.94686,0.95042,0.96721,0.80031,0.73405,0.36886,1.09165,0.000793,0.000793,0.000793
95,7200.39,0.61779,0.32201,0.96619,0.94572,0.95067,0.96464,0.80139,0.74057,0.36932,1.10042,0.000694,0.000694,0.000694
96,7270.4,0.61143,0.31807,0.96092,0.94485,0.95387,0.96337,0.80244,0.74482,0.37246,1.10086,0.000595,0.000595,0.000595
97,7339.75,0.61687,0.31376,0.9667,0.96329,0.93418,0.96384,0.80382,0.7425,0.37218,1.09911,0.000496,0.000496,0.000496
98,7409.93,0.60709,0.30831,0.9597,0.94225,0.95553,0.96557,0.80432,0.74104,0.37324,1.09671,0.000397,0.000397,0.000397
99,7481.45,0.60484,0.3079,0.95779,0.94276,0.95516,0.9657,0.80349,0.74173,0.37318,1.0976,0.000298,0.000298,0.000298
100,7551.81,0.60156,0.3066,0.95342,0.94265,0.95387,0.96539,0.80318,0.74285,0.37371,1.09981,0.000199,0.000199,0.000199
